,date,dew_point,max_temp,max_temp_flag,min_temp,min_temp_flag,precip,precip_flag,sea_level_pressure
153,1947-03-11,27.0,41.4,*,28.4,*,0.0,I,1027.8
154,1947-03-12,33.0,54.3,*,31.3,*,0.0,I,1026.7
155,1947-03-13,34.9,46.4,*,35.4,*,99.99, ,1013.9
156,1947-03-14,26.2,36.3,*,27.3,*,99.99, ,1005.3
157,1947-03-15,12.1,28.4,*,17.4,*,99.99, ,1012.8
158,1947-03-16,16.0,30.4,*,16.3,*,99.99, ,1012.2
159,1947-03-17,15.3,35.4,*,15.4,*,0.0,I,1012.4
160,1947-03-18,17.7,37.4,*,19.4,*,0.0,I,1017.9
161,1947-03-19,18.7,41.4,*,22.5,*,0.0,I,1020.3
162,1947-03-20,23.3,45.3,*,28.4,*,0.0,I,1015.8
163,1947-03-21,30.0,36.3,*,30.4,*,99.99, ,1008.2
164,1947-03-22,27.9,47.3,*,27.3,*,0.0,I,1015.6
165,1947-03-23,42.1,52.3,*,43.3,*,99.99, ,1004.6
166,1947-03-24,44.2,51.3,*,31.3,*,99.99, ,996.6
167,1947-03-25,24.5,32.4,*,24.4,*,99.99, ,1004.3
168,1947-03-26,14.7,30.4,*,15.4,*,0.0,I,1016.3
169,1947-03-27,17.6,34.3,*,15.4,*,0.0,I,1019.0
170,1947-03-28,27.7,39.4,*,26.4,*,0.0,I,1014.5
171,1947-03-29,27.8,38.3,*,31.3,*,99.99, ,1010.2
172,1947-03-30,19.8,41.4,*,22.5,*,0.0,I,1024.4
173,1947-03-31,31.2,51.3,*,33.4,*,99.99, ,1021.6
174,1947-04-01,40.5,57.4,*,42.4,*,99.99, ,1013.8
175,1947-04-02,9999.9,54.3,*,38.3,*,99.99, ,1013.0
176,1947-04-03,9999.9,46.4,*,33.4,*,0.0,I,1023.2
177,1947-04-04,9999.9,55.4,*,37.4,*,99.99, ,1012.8
178,1947-04-05,9999.9,70.3,*,53.4,*,99.99, ,997.8
179,1947-04-06,9999.9,57.4,*,38.3,*,99.99, ,1001.4
180,1947-04-07,9999.9,53.4,*,33.4,*,99.99, ,1026.0
181,1947-04-08,9999.9,46.4,*,36.3,*,99.99, ,1025.7
182,1947-04-09,9999.9,52.3,*,39.4,*,99.99, ,1022.8
183,1947-04-10,9999.9,66.4,*,40.3,*,99.99, ,1013.5
184,1947-04-11,9999.9,59.4,*,44.4,*,99.99, ,1001.9
185,1947-04-12,9999.9,45.3,*,31.3,*,99.99, ,1019.0
186,1947-04-13,9999.9,46.4,*,31.3,*,0.0,I,1031.2
187,1947-04-14,9999.9,59.4,*,33.4,*,0.0,I,1020.8
188,1947-04-15,9999.9,45.3,*,33.4,*,99.99, ,1020.5
189,1947-04-16,9999.9,39.4,*,32.4,*,99.99, ,1014.4
190,1947-04-17,9999.9,57.4,*,31.3,*,99.99, ,1012.5
191,1947-04-18,9999.9,58.3,*,31.3,*,99.99, ,1012.4
192,1947-04-19,9999.9,39.4,*,34.3,*,99.99, ,1018.5
193,1947-04-20,9999.9,39.4,*,34.3,*,99.99, ,1016.7
194,1947-04-21,9999.9,46.4,*,33.4,*,0.0,I,1020.6
195,1947-04-22,9999.9,57.4,*,37.4,*,0.0,I,1021.6
196,1947-04-23,9999.9,72.3,*,50.4,*,99.99, ,1012.3
197,1947-04-24,9999.9,70.3,*,40.3,*,99.99, ,1017.7
198,1947-04-25,9999.9,51.3,*,40.3,*,0.0,I,1022.9
199,1947-04-26,9999.9,69.3,*,37.4,*,0.0,I,1021.6
200,1947-04-27,9999.9,65.3,*,40.3,*,0.0,I,1016.5
201,1947-04-28,9999.9,64.4,*,28.4,*,0.0,I,1024.8
202,1947-04-29,9999.9,66.4,*,45.3,*,99.99, ,1011.4
203,1947-04-30,9999.9,70.3,*,50.4,*,99.99, ,1002.1
204,1947-05-01,9999.9,62.4,*,42.4,*,99.99, ,1004.3
205,1947-05-02,9999.9,53.4,*,41.4,*,99.99, ,1000.0
206,1947-05-03,9999.9,54.3,*,42.4,*,99.99, ,1007.0
207,1947-05-04,9999.9,63.3,*,49.3,*,99.99, ,1004.8
208,1947-05-05,9999.9,55.4,*,39.4,*,0.0,I,1013.4
209,1947-05-06,9999.9,51.3,*,37.4,*,99.99, ,1016.1
210,1947-05-07,9999.9,47.3,*,34.3,*,99.99, ,1018.2
211,1947-05-08,9999.9,48.4,*,30.4,*,99.99, ,1023.2
212,1947-05-09,9999.9,48.4,*,29.3,*,0.0,I,1028.3
213,1947-05-10,9999.9,59.4,*,28.4,*,0.0,I,1030.1
214,1947-05-11,9999.9,72.3,*,38.3,*,0.0,I,1026.8
215,1947-05-12,9999.9,83.3,*,54.3,*,0.0,I,1015.7
216,1947-05-13,9999.9,69.3,*,60.3,*,99.99, ,1006.9
217,1947-05-14,9999.9,53.4,*,45.3,*,99.99, ,1014.3
218,1947-05-15,9999.9,83.3,*,44.4,*,99.99, ,1015.4
219,1947-05-16,9999.9,64.4,*,53.4,*,0.0,I,1015.9
220,1947-05-17,9999.9,73.4,*,42.4,*,99.99, ,1014.8
221,1947-05-18,9999.9,71.2,*,52.3,*,99.99, ,1011.4
222,1947-05-19,9999.9,72.3,*,52.0,*,99.99, ,1008.8
223,1947-05-20,9999.9,62.4,*,46.4,*,99.99, ,1011.9
224,1947-05-21,9999.9,66.4,*,42.4,*,99.99, ,1007.2
225,1947-05-22,9999.9,74.3,*,46.4,*,0.0,I,1013.3
226,1947-05-23,9999.9,69.3,*,41.4,*,99.99, ,1017.1
227,1947-05-24,9999.9,56.3,*,39.4,*,0.0,I,1019.9
