"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-26",,"82","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-27","0.35","83","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-28","0.00","82","88","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-29",,"81","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-30",,"82","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-31","0.02","84",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-01","0.87","79",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-02","1.26","78","81","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-03","1.34","79","90","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-04","0.24","80",,"73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-05","0.24","80","84","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-06","0.02","82","86","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-07",,"83","86","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-08",,"80","84","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-09",,"82","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-10","0.02","80","84",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-11","0.00","80",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-20","0.75","80",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-21","0.24","79","86","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-22","0.39","80","86","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-25",,"80",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-28",,"79","86","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-11-30",,"78","84",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-01",,"80","97","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-02",,"83","88","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-03","1.02","82","86","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-04","0.02","80",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-06",,"78","82","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-07",,"77","84","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-09",,"73","77","70"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-10",,"73",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-11",,"75",,"66"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-12",,"73","77",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-13",,"73","81","68"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-14",,"77","82","66"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-15",,"79",,"68"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-16",,"75","82","68"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-17",,"74","84",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-18",,"71",,"64"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-20",,"79","82","70"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-21","0.01","81","88","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-22","0.04","80","86","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-23","0.00","80","86","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-24",,"81","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-12-25",,"79",,"72"
